Namespace(algo='a2c', batch_size=128, checkpoint_freq=250000, discount=0.99, ent_coef=0.01, env='BreakoutDeterministic-v4', eps_decay=200000, frame_skip=1, frame_stack=4, load='', log='log.txt', lr=0.0006, niter=1000000, nproc=8, parallel_env=1, print_freq=500, replay_size=1000000, save_dir='breakout_a2c/', target_update=2500, train_freq=16, train_start=0, value_coef=0.5)
observation space: Box(4, 84, 84)
action space: Discrete(4)
running on device cuda
obses on reset: 8 x (4, 84, 84) uint8
iter    500 |loss   0.17 |n_ep   121 |ep_len   25.9 |ep_rew  -0.31 |raw_ep_rew   0.93 |env_step   4000 |time 00:30 rem 1002:14
iter  18500 |loss  -0.01 |n_ep  3919 |ep_len   48.4 |ep_rew   0.41 |raw_ep_rew   5.11 |env_step 148000 |time 18:35 rem 986:32
iter  19000 |loss  -0.07 |n_ep  4001 |ep_len   50.6 |ep_rew   0.49 |raw_ep_rew   5.10 |env_step 152000 |time 19:05 rem 985:59
iter  19500 |loss  -0.03 |n_ep  4083 |ep_len   49.5 |ep_rew   0.48 |raw_ep_rew   6.01 |env_step 156000 |time 19:35 rem 985:27
iter  20000 |loss  -0.04 |n_ep  4168 |ep_len   49.5 |ep_rew   0.47 |raw_ep_rew   7.17 |env_step 160000 |time 20:05 rem 984:51
iter  20500 |loss  -0.02 |n_ep  4251 |ep_len   44.3 |ep_rew   0.28 |raw_ep_rew   7.59 |env_step 164000 |time 20:35 rem 984:06
iter  21000 |loss   0.02 |n_ep  4334 |ep_len   44.8 |ep_rew   0.26 |raw_ep_rew   5.62 |env_step 168000 |time 21:05 rem 983:20
iter  21500 |loss  -0.14 |n_ep  4421 |ep_len   49.0 |ep_rew   0.34 |raw_ep_rew   6.38 |env_step 172000 |time 21:35 rem 982:35
iter  22000 |loss   0.07 |n_ep  4500 |ep_len   46.6 |ep_rew   0.28 |raw_ep_rew   6.70 |env_step 176000 |time 22:05 rem 981:51
iter  22500 |loss   0.04 |n_ep  4577 |ep_len   49.5 |ep_rew   0.38 |raw_ep_rew   6.55 |env_step 180000 |time 22:34 rem 981:05
iter  23000 |loss   0.06 |n_ep  4664 |ep_len   39.5 |ep_rew   0.17 |raw_ep_rew   5.49 |env_step 184000 |time 23:04 rem 980:25
iter  23500 |loss  -0.08 |n_ep  4754 |ep_len   47.5 |ep_rew   0.38 |raw_ep_rew   4.60 |env_step 188000 |time 23:34 rem 979:48
iter  24000 |loss   0.07 |n_ep  4836 |ep_len   51.0 |ep_rew   0.54 |raw_ep_rew   6.48 |env_step 192000 |time 24:04 rem 979:11
iter  24500 |loss   0.06 |n_ep  4914 |ep_len   56.0 |ep_rew   0.67 |raw_ep_rew   6.46 |env_step 196000 |time 24:34 rem 978:31
iter  25000 |loss  -0.02 |n_ep  4993 |ep_len   50.5 |ep_rew   0.54 |raw_ep_rew   7.00 |env_step 200000 |time 25:04 rem 977:48
iter  25500 |loss   0.07 |n_ep  5077 |ep_len   52.9 |ep_rew   0.64 |raw_ep_rew   6.44 |env_step 204000 |time 25:34 rem 977:08
iter  26000 |loss  -0.04 |n_ep  5154 |ep_len   43.0 |ep_rew   0.27 |raw_ep_rew   6.81 |env_step 208000 |time 26:03 rem 976:29
iter  26500 |loss  -0.02 |n_ep  5233 |ep_len   49.2 |ep_rew   0.41 |raw_ep_rew   6.32 |env_step 212000 |time 26:33 rem 975:47
iter  27000 |loss  -0.06 |n_ep  5306 |ep_len   48.5 |ep_rew   0.32 |raw_ep_rew   6.38 |env_step 216000 |time 27:03 rem 975:04
iter  27500 |loss   0.03 |n_ep  5380 |ep_len   55.3 |ep_rew   0.53 |raw_ep_rew   6.39 |env_step 220000 |time 27:33 rem 974:24
iter  28000 |loss   0.09 |n_ep  5463 |ep_len   47.0 |ep_rew   0.31 |raw_ep_rew   5.33 |env_step 224000 |time 28:03 rem 973:49
iter  28500 |loss  -0.07 |n_ep  5547 |ep_len   44.9 |ep_rew   0.32 |raw_ep_rew   5.81 |env_step 228000 |time 28:33 rem 973:12
iter  29000 |loss  -0.08 |n_ep  5627 |ep_len   49.8 |ep_rew   0.46 |raw_ep_rew   5.60 |env_step 232000 |time 29:02 rem 972:34
iter  29500 |loss  -0.00 |n_ep  5709 |ep_len   50.5 |ep_rew   0.60 |raw_ep_rew   7.54 |env_step 236000 |time 29:32 rem 971:58
iter  30000 |loss   0.02 |n_ep  5792 |ep_len   42.5 |ep_rew   0.23 |raw_ep_rew   6.41 |env_step 240000 |time 30:02 rem 971:20
iter  30500 |loss  -0.05 |n_ep  5869 |ep_len   51.4 |ep_rew   0.47 |raw_ep_rew   7.18 |env_step 244000 |time 30:32 rem 970:41
iter  31000 |loss  -0.02 |n_ep  5946 |ep_len   47.1 |ep_rew   0.31 |raw_ep_rew   6.61 |env_step 248000 |time 31:01 rem 970:02
iter  31500 |loss   0.06 |n_ep  6030 |ep_len   42.4 |ep_rew   0.19 |raw_ep_rew   6.74 |env_step 252000 |time 31:31 rem 969:25
iter  32000 |loss   0.01 |n_ep  6109 |ep_len   43.0 |ep_rew   0.25 |raw_ep_rew   5.76 |env_step 256000 |time 32:01 rem 968:51
iter  32500 |loss  -0.01 |n_ep  6191 |ep_len   49.4 |ep_rew   0.48 |raw_ep_rew   5.96 |env_step 260000 |time 32:31 rem 968:15
iter  33000 |loss   0.03 |n_ep  6270 |ep_len   48.1 |ep_rew   0.37 |raw_ep_rew   7.66 |env_step 264000 |time 33:01 rem 967:37
iter  33500 |loss  -0.01 |n_ep  6342 |ep_len   56.0 |ep_rew   0.53 |raw_ep_rew   7.45 |env_step 268000 |time 33:30 rem 966:58
iter  34000 |loss  -0.09 |n_ep  6417 |ep_len   60.9 |ep_rew   0.70 |raw_ep_rew   5.99 |env_step 272000 |time 34:00 rem 966:23
iter  34500 |loss  -0.01 |n_ep  6492 |ep_len   49.7 |ep_rew   0.41 |raw_ep_rew   6.30 |env_step 276000 |time 34:30 rem 965:45
iter  35000 |loss  -0.07 |n_ep  6564 |ep_len   57.3 |ep_rew   0.66 |raw_ep_rew   6.97 |env_step 280000 |time 35:00 rem 965:09
iter  35500 |loss   0.03 |n_ep  6640 |ep_len   46.2 |ep_rew   0.38 |raw_ep_rew   6.47 |env_step 284000 |time 35:30 rem 964:33
iter  36000 |loss  -0.10 |n_ep  6709 |ep_len   51.7 |ep_rew   0.47 |raw_ep_rew   7.47 |env_step 288000 |time 35:59 rem 963:58
iter  36500 |loss  -0.02 |n_ep  6782 |ep_len   59.6 |ep_rew   0.76 |raw_ep_rew   7.72 |env_step 292000 |time 36:29 rem 963:22
iter  37000 |loss  -0.04 |n_ep  6855 |ep_len   52.0 |ep_rew   0.52 |raw_ep_rew   7.23 |env_step 296000 |time 36:59 rem 962:45
iter  37500 |loss  -0.02 |n_ep  6929 |ep_len   54.4 |ep_rew   0.56 |raw_ep_rew   7.71 |env_step 300000 |time 37:29 rem 962:10
iter  38000 |loss   0.06 |n_ep  6998 |ep_len   59.0 |ep_rew   0.67 |raw_ep_rew   7.28 |env_step 304000 |time 37:59 rem 961:36
iter  38500 |loss   0.08 |n_ep  7064 |ep_len   74.2 |ep_rew   1.03 |raw_ep_rew   8.89 |env_step 308000 |time 38:28 rem 960:59
iter  39000 |loss   0.02 |n_ep  7137 |ep_len   52.8 |ep_rew   0.32 |raw_ep_rew   7.16 |env_step 312000 |time 38:58 rem 960:21
iter  39500 |loss   0.19 |n_ep  7207 |ep_len   59.0 |ep_rew   0.67 |raw_ep_rew   6.88 |env_step 316000 |time 39:28 rem 959:45
iter  40000 |loss   0.18 |n_ep  7273 |ep_len   74.6 |ep_rew   1.06 |raw_ep_rew   7.58 |env_step 320000 |time 39:57 rem 959:09
iter  40500 |loss  -0.04 |n_ep  7337 |ep_len   59.5 |ep_rew   0.64 |raw_ep_rew   8.62 |env_step 324000 |time 40:27 rem 958:32
iter  41000 |loss  -0.02 |n_ep  7408 |ep_len   56.5 |ep_rew   0.58 |raw_ep_rew   7.49 |env_step 328000 |time 40:57 rem 957:58
iter  41500 |loss   0.01 |n_ep  7484 |ep_len   50.9 |ep_rew   0.48 |raw_ep_rew   6.64 |env_step 332000 |time 41:27 rem 957:28
iter  42000 |loss  -0.06 |n_ep  7547 |ep_len   64.0 |ep_rew   0.80 |raw_ep_rew   8.01 |env_step 336000 |time 41:57 rem 956:58
iter  42500 |loss  -0.04 |n_ep  7619 |ep_len   47.5 |ep_rew   0.34 |raw_ep_rew   6.71 |env_step 340000 |time 42:27 rem 956:27
